Sensitivity_Type,Scenario,Shock,District,Predicted_Average_Price_Growth,Predicted_Median_Price_Growth,Average_Growth_Change,Median_Growth_Change
Income_only,-10%,-0.1,SUTTON,0.042399513583734436,0.03113453452918178,0.005025026887352901,0.0034170370137019956
Income_only,-10%,-0.1,TOWER HAMLETS,-0.029344499871143553,0.005458041306189515,0.005733869943331003,0.012884358109444136
Income_only,-10%,-0.1,WALTHAM FOREST,0.02532873193224353,0.023211160117229047,0.005003819858077494,0.0023070901525290635
Income_only,-10%,-0.1,WANDSWORTH,-0.0049409250291545526,0.004285980486170732,0.006299452271388586,0.028579880572092355
Both,-10%,-0.1,BARKING AND DAGENHAM,0.03311828852302193,0.04743486685664242,0.008203678462778016,0.0017951942942519075
Both,-10%,-0.1,BARNET,0.00506225849524862,0.008625756341910176,0.013141978045496504,0.0003551410712624523
Both,-10%,-0.1,BEXLEY,0.02608776845285439,0.030433567087683744,0.010005473332785488,0.011258295677028896
Both,-10%,-0.1,BRENT,0.011229754538678768,0.022118808537612375,0.011010398916540733,0.006960272186848216
Both,-10%,-0.1,BROMLEY,0.019185382872353544,0.023954350965368344,0.012695968043189758,0.003447797920442277
Both,-10%,-0.1,CAMDEN,0.004338392357009979,0.013540949179804506,0.010592913124094628,0.04185436552948234
Both,-10%,-0.1,CITY OF LONDON,0.029799405328138906,-0.029827067986726588,0.010815916064272353,0.0
Both,-10%,-0.1,CITY OF WESTMINSTER,-0.050534322435086036,-0.01637597497872903,0.010923034659719874,0.02652374938184749
Both,-10%,-0.1,CROYDON,0.04244885254876875,0.03357443064932009,0.012887538526146415,0.009874653677051308
Both,-10%,-0.1,EALING,0.018055384682972384,0.03005491469051142,0.011971552927674625,0.012662570271529918
Both,-10%,-0.1,ENFIELD,0.04599597824744322,0.033214924193505566,0.010444475800669428,0.011971604063107235
Both,-10%,-0.1,GREENWICH,0.004945017016526873,0.011184551202938507,0.01134595014031791,0.0007308274530236584
Both,-10%,-0.1,HACKNEY,0.004723957943569114,0.006153746041572685,0.010116891605623176,0.0047310562830961975
Both,-10%,-0.1,HAMMERSMITH AND FULHAM,-0.011112210763739002,0.02715088904464342,0.009971014992829477,0.04718995399057495
Both,-10%,-0.1,HARINGEY,0.041421242702788956,0.015319152843882723,0.010132712574225773,0.00377849348708539
Both,-10%,-0.1,HARROW,0.008402779634277692,0.01755588790628778,0.010280084916653725,0.005136707282007739
Both,-10%,-0.1,HAVERING,0.02906880875951297,0.030223366907933594,0.010083295184519517,0.00824968938582532
Both,-10%,-0.1,HILLINGDON,0.014591560971449797,0.02205997918234667,0.011401499715303465,0.0024340344683326867
Both,-10%,-0.1,HOUNSLOW,0.005162603469471337,0.029620274408341564,0.010398735208209107,0.011630643987111354
Both,-10%,-0.1,ISLINGTON,0.01391415211897414,0.009233746998174315,0.010288502236078093,0.02754693714963778
Both,-10%,-0.1,KENSINGTON AND CHELSEA,0.0030481318419070106,-0.027360585553788674,0.009676100038340943,0.0072955461295462765
Both,-10%,-0.1,KINGSTON UPON THAMES,-0.014380372218842289,0.025964458969682608,0.0092455481909207,0.01682802855717829
Both,-10%,-0.1,LAMBETH,-0.003934976296759882,0.007376463986247671,0.012484906798506936,0.01361995588271531
Both,-10%,-0.1,LEWISHAM,0.008662540361092813,0.011984683872569969,0.010826357580078577,0.00231914993404341
Both,-10%,-0.1,MERTON,-0.011001449984363592,0.014875244716461712,0.01008438077290273,0.0026858351013679845
Both,-10%,-0.1,NEWHAM,0.03700557943534538,0.031884988623658655,0.010916667467712748,0.006479330849690934
Both,-10%,-0.1,REDBRIDGE,0.019148994192907626,0.03251183530545936,0.010511425530667853,0.010917384953276998
Both,-10%,-0.1,RICHMOND UPON THAMES,0.016623507874478128,-0.013910397840059435,0.011080530072779917,0.016133559444769414
Both,-10%,-0.1,SOUTHWARK,0.0321803851721312,-0.002921336554552064,0.011820749880609532,0.0038422861639150476
